gene_symbol,probe_id,probe_name,overall_detection_rate,donors_with_detection_rate_at_least_0_5
FAM171A2,1017989,CUST_1017_PI416379584,0.7576985413290114,6
FAM47E,1015924,A_32_P83811,0.9670448406266883,6
FASN,1057064,A_23_P44132,0.9265262020529443,6
FBRSL1,1014256,A_24_P280497,1.0,6
FCGR2A,1019379,A_23_P85716,0.8965424095083738,6
FGD4,1035818,A_24_P158946,0.9991896272285251,6
FYN,1029625,A_23_P502142,0.9994597514856834,6
GAK,1056538,A_24_P397150,0.9964883846569422,6
GALNT14,1039165,A_23_P67847,0.9948676391139925,6
GALNT9,1018522,A_23_P252462,0.9294975688816856,6
GBF1,1049375,A_23_P161237,0.9994597514856834,6
GPM6B,1023580,CUST_1352_PI416379584,0.9994597514856834,6
GPNMB,1024151,A_23_P134426,0.8568341437061048,6
GUSBP2,1010976,A_32_P92654,0.9994597514856834,6
HEATR6,1040127,A_23_P77965,0.9249054565099946,6
HIP1R,1049068,A_23_P398294,0.9994597514856834,6
HLA-DQA1,1055659,CUST_3141_PI416261804,0.6788222582387898,3
HLA-DQB1,1055654,A_23_P136683,0.5764451647757969,3
HLA-DRA,1055653,A_32_P87697,0.8444084278768234,5
HLA-DRB1,1055650,A_24_P343233,0.9994597514856834,6
INPP5F,1046230,A_23_P35684,0.9994597514856834,6
IP6K2,1030753,A_23_P301138,1.0,6
IQCJ,1021143,CUST_1127_PI416573500,0.5953538627768774,4
IQCJ-SCHIP1,1044120,CUST_10207_PI416261804,1.0,6
IRS2,1049469,A_24_P154037,0.9994597514856834,6
ITGA2B,1054940,A_23_P77971,0.5967044840626688,5
ITGA8,1049618,CUST_5678_PI416261804,0.8192868719611021,6
ITGAE,1054932,CUST_13181_PI416261804,0.9554294975688817,6
ITIH1,1054913,A_24_P136905,0.9972987574284171,6
ITPKB,1054898,A_23_P372255,0.9994597514856834,6
KCNIP3,1022417,A_23_P356004,0.9989195029713668,6
KCNN3,1027249,A_23_P126167,0.9638033495407887,6
KCNS3,1054772,A_23_P120103,0.9783900594273366,6
KLHDC1,1035776,A_32_P164513,0.9978390059427337,6
