gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
MCCC1,1041094,A_23_P58036,3695,3702,0.998109130199892,6,6,True
MCCC1,1041095,CUST_7712_PI416261804,2052,3702,0.5542949756888168,6,4,True
MED12L,1036005,A_32_P701268,3300,3702,0.8914100486223663,6,6,True
MED12L,1036006,CUST_12507_PI416261804,3033,3702,0.8192868719611021,6,6,True
MED13,1047969,A_23_P27247,3567,3702,0.9635332252836305,6,6,True
MED13,1047970,A_24_P17077,3702,3702,1.0,6,6,True
METTL13,1029408,A_23_P201672,3702,3702,1.0,6,6,True
METTL13,1029409,A_23_P201676,3138,3702,0.8476499189627229,6,6,True
MIPOL1,1034741,A_23_P300867,3563,3702,0.9624527282549973,6,6,True
MIPOL1,1034742,CUST_10377_PI416261804,3540,3702,0.9562398703403565,6,6,True
MMRN1,1046181,A_23_P18539,20,3702,0.005402485143165856,6,0,False
MMRN1,1046182,CUST_12208_PI416261804,75,3702,0.02025931928687196,6,0,False
MORN1,1038820,A_24_P165205,2431,3702,0.6566720691518099,6,5,True
MORN1,1038821,CUST_89_PI416261804,2798,3702,0.7558076715289033,6,5,True
MRPL1,1039604,A_23_P84821,3598,3702,0.9719070772555376,6,6,True
MRPL1,1039605,CUST_5113_PI416261804,3700,3702,0.9994597514856834,6,6,True
MSR1,1023451,A_24_P372223,600,3702,0.1620745542949757,6,0,False
MSR1,1023452,A_23_P216176,261,3702,0.07050243111831442,6,0,False
MSR1,1023453,CUST_15763_PI416261804,665,3702,0.17963263101026472,6,0,False
MSR1,1054033,A_23_P392942,284,3702,0.07671528903295516,6,0,False
MTF2,1046288,A_23_P46333,3698,3702,0.9989195029713668,6,6,True
MTF2,1046289,CUST_2197_PI416261804,3701,3702,0.9997298757428417,6,6,True
MUC12,1015514,CUST_4556_PI416261804,2478,3702,0.6693679092382496,6,4,True
MUC12,1025233,CUST_4201_PI416261804,42,3702,0.011345218800648298,6,0,False
MUC12,1025234,CUST_4195_PI416261804,20,3702,0.005402485143165856,6,0,False
MUC12,1025235,CUST_4182_PI416261804,285,3702,0.07698541329011345,6,0,False
MUC12,1047868,CUST_4614_PI416261804,11,3702,0.002971366828741221,6,0,False
MUC19,1069887,A_23_P434374,48,3702,0.012965964343598054,6,0,False
MYLK2,1037087,A_23_P80008,3669,3702,0.9910858995137763,6,6,True
MYLK2,1037088,CUST_9194_PI416261804,461,3702,0.12452728254997299,6,0,False
NDUFAF2,1036662,A_32_P49555,3700,3702,0.9994597514856834,6,6,True
NDUFAF2,1036663,A_23_P360983,3700,3702,0.9994597514856834,6,6,True
NDUFAF2,1036664,A_23_P345942,3700,3702,0.9994597514856834,6,6,True
