gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
AC058791.2,1015614,CUST_7192_PI416261804,119765,uncharacterized LOC378805,378805.0,7,0.9989195029713668,3698,3702
AC062028.1,1032383,CUST_9706_PI416261804,94482,uncharacterized LOC285150,285150.0,2,0.9902755267423015,3666,3702
AC063965.2,1010505,CUST_741_PI416379584,1000118,"killin, p53-regulated DNA replication inhibitor",100144748.0,10,0.7520259319286872,2784,3702
AC063977.1,1034609,CUST_1380_PI416573500,80617,V-set and immunoglobulin domain containing 10 like,147645.0,19,0.9967585089141004,3690,3702
AC068020.3,1011801,A_24_P290013,94762,"family with sequence similarity 86, member A pseudogene",286042.0,8,0.9311183144246353,3447,3702
AC068353.1,1015934,A_23_P250212,81278,homolog of rat pragma of Rnd2,157285.0,8,0.9994597514856834,3700,3702
AC068385.1,1016442,CUST_59_PI416573500,80326,chromosome 11 open reading frame 94,143678.0,11,1.0,3702,3702
AC068491.1,1015603,CUST_8367_PI416261804,151961,uncharacterized LOC541471,541471.0,2,0.9989195029713668,3698,3702
AC068580.3,1070364,A_23_P75362,126202,interferon induced transmembrane protein 10,402778.0,11,0.9281469475958941,3436,3702
AC068989.2,1041802,A_23_P41470,34890,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60,55601.0,4,0.5256618044300378,1946,3702
AC069154.2,1024825,CUST_4797_PI416261804,83562,primary ciliary dyskinesia protein 1,200373.0,2,0.9972987574284171,3692,3702
AC069234.1,1035807,A_23_P162559,78857,signal peptide peptidase like 3,121665.0,12,0.9997298757428417,3701,3702
AC073043.2,1017095,A_24_P247587,110402,uncharacterized LOC348751,348751.0,2,0.8611561318206374,3188,3702
AC073135.1,1019251,A_24_P211894,110411,"ankyrin repeat domain 18D, pseudogene",348840.0,3,0.6839546191247974,2532,3702
AC073343.8,1011069,A_32_P6408,34042,zinc finger protein 853,54753.0,7,0.9956780118854673,3686,3702
AC073346.1,1011219,A_32_P54305,125609,uncharacterized LOC401397,401397.0,7,1.0,3702,3702
AC073548.1,1067573,A_23_P57480,34233,uncharacterized protein FLJ20464,54944.0,22,0.8187466234467855,3031,3702
AC074286.1,1015298,A_32_P134772,1002387,uncharacterized LOC100130691,100130691.0,2,0.98892490545651,3661,3702
AC078802.1,1037556,A_23_P121447,58718,actin-related protein T3,84517.0,3,0.7004321988114532,2593,3702
AC078937.4,1011393,CUST_3231_PI416261804,94754,SLC26A4 antisense RNA 1 (non-protein coding),286002.0,7,0.5515937331172339,2042,3702
AC079061.1,1016731,A_23_P134734,34927,syntabulin (syntaxin-interacting),55638.0,8,0.9997298757428417,3701,3702
