gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
A_23_P171232,1,0,0.0035116153430578066
A_23_P17837,1,0,0.05807671528903296
A_23_P18173,1,0,0.09940572663425176
A_23_P1871,1,0,0.06645056726094004
A_23_P18871,2,0,0.1501890869800108
A_23_P1894,1,0,0.001350621285791464
A_23_P20017,1,0,0.09913560237709346
A_23_P201109,2,0,0.026202052944354404
A_23_P202667,1,0,0.09184224743381955
A_23_P203150,1,0,0.014856834143706105
A_23_P204170,1,0,0.4097784981091302
A_23_P205500,1,0,0.03808752025931929
A_23_P206068,2,0,0.17423014586709887
A_23_P206135,1,0,0.21501890869800108
A_23_P206741,1,0,0.021609940572663425
A_23_P207233,1,0,0.06131820637493247
A_23_P207557,1,0,0.05321447866018368
A_23_P207881,1,0,0.016477579686655863
A_23_P208393,1,0,0.37790383576445163
A_23_P208626,1,0,0.09751485683414371
A_23_P209116,1,0,0.0032414910858995136
A_23_P209527,1,0,0.009724473257698542
A_23_P209882,2,0,0.3192868719611021
A_23_P21045,1,0,0.04024851431658563
A_23_P210451,1,0,0.07077255537547272
A_23_P21120,1,0,0.0021609940572663426
A_23_P211699,1,0,0.0021609940572663426
A_23_P211711,1,0,0.1085899513776337
A_23_P211762,4,0,0.11885467314964884
A_23_P212149,1,0,0.014856834143706105
A_23_P21249,1,0,0.26121015667206915
A_23_P21260,1,0,0.04781199351701783
A_23_P21293,1,0,0.051053484602917344
A_23_P21393,1,0,0.025661804430037818
A_23_P215382,1,0,0.004592112371690978
A_23_P21587,1,0,0.004321988114532685
A_23_P216434,1,0,0.009184224743381956
A_23_P216581,1,0,0.004862236628849271
A_23_P216900,1,0,0.007293354943273906
A_23_P217187,1,0,0.005132360886007563
A_23_P217698,1,0,0.047271745002701246
A_23_P218569,1,0,0.47947055645596975
A_23_P22072,1,0,0.3092922744462453
A_23_P22254,1,0,0.381955699621826
A_23_P23564,1,0,0.028363047001620744
A_23_P23593,1,0,0.029443544030253916
A_23_P23698,2,0,0.0037817396002160996
A_23_P24507,1,0,0.2909238249594814
A_23_P250516,4,0,0.011075094543490005
A_23_P25086,1,0,0.10237709346299298
A_23_P252360,1,0,0.005402485143165856
A_23_P252501,2,0,0.20502431118314424
A_23_P253168,1,0,0.001350621285791464
A_23_P253689,1,0,0.002701242571582928
A_23_P253762,1,0,0.0021609940572663426
