structure_id,structure_acronym,structure_name,number_of_donors,coordinate_donor_count,mni_x,mni_y,mni_z,parkinsons_expression_score,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05
4735,He-IV,"IV, left, lateral hemisphere",4,4,-21.5,-35.125,-22.0,-0.18299375,-0.75265753,0.7706229377062294,0.9922007799220078,False
4718,PV-III,"III, left, paravermis",4,4,-6.5,-41.25,-14.65,-0.19403113,-1.3836927,0.915908409159084,0.9922007799220078,False
4708,Ve-VIIB,VIIB,4,4,0.75,-73.625,-29.4375,-0.20074485,-1.4554348,0.9274072592740726,0.9922007799220078,False
9115,SC,"superior colliculus, left",4,4,-10.45,-32.175,-5.475,-0.20701198,-0.69425046,0.7536246375362464,0.9922007799220078,False
4255,CA2,"CA2 field, left",6,6,-29.885555555555555,-28.319999999999997,-4.724444444444444,-0.21117115,2.2906704,0.0123987601239876,0.2378762123787621,False
9149,LC,"locus ceruleus, left",4,4,-3.5625,-39.545833333333334,-31.991666666666667,-0.21386777,0.48864833,0.3170682931706829,0.7055687288414015,False
4701,Ve-III,III,4,4,0.7416666666666667,-44.30833333333334,-12.845833333333335,-0.21929139,-1.344664,0.9115088491150884,0.9922007799220078,False
4738,He-VI,"VI, left, lateral hemisphere",6,6,-29.647222222222222,-66.66111111111111,-23.566666666666666,-0.2265149,-1.4662915,0.9287071292870712,0.9922007799220078,False
4291,Acb,"nucleus accumbens, left",6,6,-10.183333333333334,9.066666666666666,-7.779166666666666,-0.2306001,-0.71291804,0.7623237676232377,0.9922007799220078,False
4710,Ve-VIIIB,VIIIB,4,4,0.5125000000000002,-68.65,-41.0875,-0.2466678,-1.4983956,0.9355064493550644,0.9922007799220078,False
4705,Ve-VI,VI,4,4,0.7,-75.7125,-15.425,-0.24854508,-1.741797,0.9603039696030397,0.9922007799220078,False
4281,TCd,"tail of caudate nucleus, left",6,6,-35.47222222222222,-29.13611111111111,-4.652777777777778,-0.24861676,-1.0703031,0.8577142285771423,0.9922007799220078,False
10145,OlfT,"olfactory tubercle, left",4,4,-18.125,6.5,-16.375,-0.24970764,0.42150775,0.3364663533646635,0.7159691007643421,False
4675,LM,"lateral mammillary nucleus, left",4,4,-8.75,-4.75,-10.75,-0.26551658,0.6290747,0.2643735626437356,0.6940597606905976,False
4702,Ve-IV,IV,4,4,0.8375000000000001,-50.6625,-5.949999999999999,-0.26940048,-1.6109824,0.9503049695030495,0.9922007799220078,False
4719,PV-IV,"IV, left, paravermis",5,5,-8.02,-45.06,-7.58,-0.26967153,-1.1605513,0.8767123287671232,0.9922007799220078,False
4593,SO,"supraoptic nucleus, left",5,5,-10.940000000000001,-1.8200000000000003,-11.28,-0.27524173,0.5301181,0.2953704629537046,0.7025107615820697,False
4728,PV-IX,"IX, left, paravermis",5,5,-9.67,-50.83,-49.64,-0.2752924,-1.4738138,0.928907109289071,0.9922007799220078,False
4637,VMH,"ventromedial hypothalamic nucleus, left",5,5,-7.38,-2.56,-9.1,-0.2775601,1.179409,0.1202879712028797,0.5119232262820229,False
4311,DBh,"nucleus of the diagonal band, left, vertical division",4,4,-14.0,4.5,-13.75,-0.27783468,0.49847057,0.30996900309969,0.7055687288414015,False
